StationID,Station
8504140,AZL
8506013,Aadorf
8573363,"Aadorf, Bahnhof"
8506853,"Aadorf, Morgental"
8573362,"Aadorf, Zentrum"
8502113,Aarau
8590257,"Aarau Rohr, Gemeindehaus"
8590258,"Aarau Rohr, Quellhölzli"
8590259,"Aarau Rohr, Rigistrasse"
8590260,"Aarau Rohr, Salamatt"
8590261,"Aarau Rohr, Unterdorf"
8594390,"Aarau, Aarenau"
8572388,"Aarau, Aarepark"
8588428,"Aarau, Achenbergstrasse"
8590132,"Aarau, Allmendweg"
8578645,"Aarau, Alte Badanstalt"
8502996,"Aarau, Bahnhof"
8590133,"Aarau, Bavaria"
8590134,"Aarau, Berufsschule"
8590135,"Aarau, Binzenhofstrasse"
8590136,"Aarau, Buchenhof"
8590137,"Aarau, Dammweg"
8590138,"Aarau, Delfterstrasse"
8590139,"Aarau, Dossenstrasse"
8590140,"Aarau, Dufourstrasse"
8590141,"Aarau, Friedhof"
8590142,"Aarau, Gais"
8590143,"Aarau, General Guisanstrasse"
8590144,"Aarau, Hans Hässigstrasse"
8590145,"Aarau, Heinrich Wirristrasse"
8590146,"Aarau, Herzogplatz"
8590147,"Aarau, Hirslanden Klinik"
8578643,"Aarau, Holzmarkt"
8590148,"Aarau, Ifang"
8594929,"Aarau, Kasinopark"
8590150,"Aarau, Keba"
8594930,"Aarau, Kettenbrücke"
8578642,"Aarau, Kunsthaus"
8590149,"Aarau, Käfergrund"
8590151,"Aarau, Neumattstrasse"
8590152,"Aarau, Obere Vorstadt"
8590153,"Aarau, Pestalozzistrasse"
8578644,"Aarau, Rathaus"
8589189,"Aarau, Roggenhausen"
8589190,"Aarau, Schanz"
8588427,"Aarau, Sonnmattweg"
8590154,"Aarau, Spital"
8590155,"Aarau, Tannerstrasse"
8590156,"Aarau, Tellizentrum"
8590157,"Aarau, Wallerplatz"
8590158,"Aarau, Wasserfluhweg"
8590159,"Aarau, Wöschnauring"
8590160,"Aarau, Zelglistrasse"
8504404,Aarberg
8571218,"Aarberg, Aarezelg"
8571260,"Aarberg, Bernfeld"
8580569,"Aarberg, Bielstr/Friedhof"
8504704,"Aarberg, Bifang"
8571229,"Aarberg, Murtenstrasse"
8580425,"Aarberg, Nidaustrasse"
8571220,"Aarberg, Post/Bahnhof"
8577644,"Aarberg, Scheueracker"
8580406,"Aarberg, Schwimmbad"
8571253,"Aarberg, Spital"
8582506,"Aarburg, Alter Friedhof"
8572354,"Aarburg, Höhe"
8582507,"Aarburg, Kloosmatte"
8572353,"Aarburg, Längacker"
8590161,"Aarburg, Stadtgarten"
8572355,"Aarburg, Städtli"
8502000,Aarburg-Oftringen
8572683,"Aarburg-Oftringen, Bahnhof"
8530801,"Aareschlucht Ost MIB"
8530760,"Aareschlucht West"
8571594,"Aareschlucht, Ost"
8508153,Aarwangen
8508154,"Aarwangen Schloss"
8508193,"Aarwangen Vorstadt"
8503124,Aathal
8595395,"Aathal, Bahnhof"
8587788,"Abtwil AG, Auwerstrasse"
8593466,"Abtwil AG, Hofmatt"
8587786,"Abtwil AG, Langegg"
8577107,"Abtwil AG, Post"
8588961,"Abtwil SG, Ausserdorf"
8588889,"Abtwil SG, Dorf"
8588965,"Abtwil SG, Friedhof"
8588966,"Abtwil SG, Gemeindehaus"
8588964,"Abtwil SG, Grund"
8588962,"Abtwil SG, Hüslenweg"
8588963,"Abtwil SG, Sonnenhof"
8589908,"Abtwil SG, St. Josefen"
8581774,"Abtwil SG, Säntispark"
8581777,"Abtwil SG, Wiesenbach/Cinedome"
8581776,"Abtwil SG, Zentrumspark"
8576314,"Achseten, Bettbach"
8588422,"Achseten, Bönigen"
8576310,"Achseten, Hoher Steg"
8507850,"Achseten, Kirche"
8594920,"Achseten, Marchbach"
8576311,"Achseten, Schmitten"
8576309,"Achseten, Tregel"
8574897,"Acla (Medel)"
8574611,"Acla (Safien)"
8574781,"Acla da Fans"
8505180,"Acla da Fontauna"
8587606,"Acla da Fontauna, center sport"
8570093,"Aclens, collège"
8505251,Acquacalda
8588134,"Acquarossa, Casa Anziani"
8578830,"Acquarossa, Ospedale"
8505257,Acquarossa-Comprovasco
8530860,"Adelboden Bergläger (Höchsth.)"
8530308,"Adelboden Dorf (Silleren)"
8530314,"Adelboden Geils (Hahnenmoos)"
8530309,"Adelboden Oey (Sillerenbahn)"
8576322,"Adelboden, Altersheim"
8507996,"Adelboden, Ausserschwand Schul"
8576331,"Adelboden, Bergläger"
8507858,"Adelboden, Boden Wendeplatz"
8588698,"Adelboden, Bollersgraben"
8576328,"Adelboden, Brügge"
8592309,"Adelboden, Dorf Sillerenbahn"
8576325,"Adelboden, Dürrenegge"
8576326,"Adelboden, Falkiport"
8576332,"Adelboden, Geils"
8592310,"Adelboden, Gilbach, des Alpes"
8592312,"Adelboden, Heinrichseggen"
8576308,"Adelboden, Hirschen"
8507852,"Adelboden, Hirzboden"
8594931,"Adelboden, Hotel Alpina"
8576321,"Adelboden, Janz Team"
8592313,"Adelboden, Jugendh. Heilsarmee"
8576327,"Adelboden, Kreuzgasse"
8576307,"Adelboden, Margeli"
8576306,"Adelboden, Mineralquelle"
8576305,"Adelboden, Mühleport"
8507998,"Adelboden, Neuweg"
8507853,"Adelboden, Oey"
8507851,"Adelboden, Post"
8576319,"Adelboden, Rainweg"
8576329,"Adelboden, Raufmatte"
8592314,"Adelboden, Schermtanne"
8576324,"Adelboden, Schlegeli Crystal"
8576323,"Adelboden, Schlegeli Hari"
8592315,"Adelboden, Schreiner Bärtschi"
8576320,"Adelboden, Schönbühl"
8507857,"Adelboden, Unter dem Birg"
8592316,"Adelboden, Unter der Fluh"
8592317,"Adelboden, Wegscheide"
8595270,"Adelhausen, Adler"
8595269,"Adelhausen, Dinkelberger Hof"
8595268,"Adelhausen, Hüsingerstrasse"
8575988,"Adetswil, Frowiesstrasse"
8503622,"Adetswil, Sunneberg"
8573064,"Adligenswil, Blatte"
8573066,"Adligenswil, Chliäbnet"
8589650,"Adligenswil, Dorf"
8589651,"Adligenswil, Gämpi"
8589652,"Adligenswil, Luegisland"
8589653,"Adligenswil, Rigiblick"
8573065,"Adligenswil, Sagi"
8573062,"Adligenswil, Stuben"
8589654,"Adligenswil, Talrain"
8573063,"Adligenswil, Widspüel"
8587717,"Adlikon b. Andelfingen"
8576253,"Adlikon b. R., Dorf"
8590462,"Adlikon b. R., Leematten"
8590461,"Adlikon b. R., Pächterried"
8576255,"Adlikon b. R., Sonnhalde"
8576256,"Adlikon b. R., Sonnhalde West"
8576281,"Adlikon b. R., Ziegelhütte"
8503096,Adliswil
8503082,"Adliswil (Luftseilbahnstation)"
8590476,"Adliswil, Ahornweg"
8590463,"Adliswil, Badstrasse"
8590464,"Adliswil, Bahnhof"
8590471,"Adliswil, Baldernstrasse"
8590465,"Adliswil, Baumgartenweg"
8590466,"Adliswil, Bodenacker"
8590467,"Adliswil, Büchel"
8590468,"Adliswil, Eichenweg"
8590469,"Adliswil, Feldblumenstrasse"
8590470,"Adliswil, Friedhof"
8595717,"Adliswil, Grundstrasse"
8590472,"Adliswil, Grüt"
8590473,"Adliswil, Hofackerstrasse"
8590474,"Adliswil, Krone"
8590475,"Adliswil, Landolt-Junker-Str."
8590477,"Adliswil, Moos"
8590478,"Adliswil, Poststrasse"
8590480,"Adliswil, Rifertstrasse"
8590481,"Adliswil, Rütistrasse/Wacht"
8590482,"Adliswil, Schulhaus Kopfholz"
8590484,"Adliswil, Tiefacker"
8590485,"Adliswil, Tobelhof"
8590486,"Adliswil, Wanneten-/Haldenstr."
8590479,"Adliswil, Zopf"
8500955,"Aedermannsdorf, Dorfplatz"
8572331,"Aedermannsdorf, Staatsstrasse"
8508085,Aefligen
8588528,"Aefligen, Gemeindehaus"
8587639,"Aegerten, Bären"
8576421,"Aegerten, Dorfplatz"
8587638,"Aegerten, Jurastrasse"
8576422,"Aegerten, Stockfeld"
8530528,Aelpli
8530522,Aempächli
8508449,Aemsigen
8500117,Aesch
8573680,"Aesch (Neftenbach)"
8578232,"Aesch BL, Alterszentrum"
8588758,"Aesch BL, Arlesheimerstrasse"
8582727,"Aesch BL, Bahnhof"
8500255,"Aesch BL, Dorf"
8587228,"Aesch BL, Dorf (Bus)"
8578228,"Aesch BL, Gewerbestrasse"
8588760,"Aesch BL, Herrenweg"
8578233,"Aesch BL, Höhenweg"
8582800,"Aesch BL, Neumatt"
8578229,"Aesch BL, Schwimmbad"
8582799,"Aesch BL, Schürhof"
8578230,"Aesch BL, Schützenmattschule"
8578227,"Aesch BL, Sonnenweg"
8582801,"Aesch BL, Sportanl Löhrenacker"
8530630,"Aesch LU (See)"
8577355,"Aesch LU, Berg"
8577349,"Aesch LU, Kreuz"
8577342,"Aesch LU, Vorderdorf"
8502876,"Aesch ZH, Gemeindehaus"
8583755,"Aesch ZH, Heligenmattstrasse"
8590487,"Aesch bei Maur, Im Brünneli"
8590488,"Aesch bei Maur, Zollingerheim"
8508985,"Aeschau, Dorf"
8588367,"Aeschau, Gärtnerei"
8576708,"Aeschau, Horben Schmiede"
8588368,"Aeschau, Horben Schulhaus"
8588366,"Aeschau, Säge"
8500476,"Aeschi SO, Dorf"
8578121,"Aeschi SO, Kirche"
8589951,"Aeschi SO, Ost"
