StationID,Station
0000006,"Feldbrunnen, St. Katharinen$<1>"
0000007,"Fideris, Bahnhof$<1>"
0000011,Grenchen$<1>
0000016,"La Sarraz, poste$<1>"
0000022,Basel$<1>
0000023,Bern Brunnadernstr.$<1>
0000024,Bern Bümpliz$<1>
0000025,Bern Egghölzli$<1>
0000026,Bern Helvetiaplatz$<1>
0000028,Boudry TN$<1>
0000030,"Bristen, Talstation Seilbahn$<1>"
0000033,Lindau (D)$<1>
0000035,Lothenbach$<1>
0000036,Lothenbach (See)$<1>
0000040,Neuthal b. Bäretswil$<1>
0000042,"Portalban, poste$<1>"
0000047,Lyon$<1>
0000054,Melchenbühl$<1>
0000055,"Melchenbühl, Bahnhof$<1>"
0000059,Tägerwilen$<1>
0000060,Val-Thoiry$<1>
0000061,Valence$<1>
0000065,"Wallisellen, Glatt$<1>"
0000066,"Wallisellen, Zentrum Glatt$<1>"
0000068,Vauruz-Sud$<1>
0000069,Arth am See$<1>
0000070,"Arth, Post$<1>"
0000073,"Neuchâtel, Ecluse$<1>"
0000074,"Neuchâtel, Plan Funiculaire$<1>"
0000076,"Vernier, Pont-Boutin$<1>"
0000078,Samnaun Ravaisch$<1>
0000080,"Immensee, Dorfplatz$<1>"
0000081,Sumvitg-C. Bahnhof/Camping$<1>
0000082,Bellwald LFÜB$<1>
0000083,"Berlingen, URh$<1>"
0000084,Tortin TDV$<1>
0000085,Schönbühl$<1>
0000086,"Schattdorf, Drogerie$<1>"
0000087,Dieni PSR$<1>
0000088,Blatten LBB$<1>
0000093,"Wangen b D'orf, Stierwisen$<1>"
0000094,"Wangen b D'orf, Hätzelwisen$<1>"
0000096,Langnau$<1>
0000104,"St. Gallen, Schibentor$<1>"
0000108,Biberist$<1>
0000124,Freienbach$<1>
0000127,Ueberlingen Hafen$<1>
0000129,"Boudry, station TN$<1>"
0000132,Bahn-2000-Strecke$<1>$Bahn-2000-Strecke$<2>
0000133,Centovalli$<1>$Centovalli$<2>
0000134,Furka$<1>$Furka$<2>
0000135,Lötschberg-Basistunnel$<1>$Lötschberg-Basistunnel$<2>
0000136,Lötschberg-Bergstrecke$<1>$Lötschberg-Bergstrecke$<2>
0000137,Rotsee$<1>$Rotsee$<2>
0000138,Vereina$<1>$Vereina$<2>
0000139,Damm$<1>$Damm$<2>
0000140,Gotthard-Panoramastrecke$<1>$Gotthard-Panoramastrecke$<2>
0000141,Oberalp$<1>$Oberalp$<2>
0000142,Simplon$<1>$Simplon$<2>
0000174,Gotthard-Basistunnel$<1>$Gotthard-Basistunnel$<2>
0000175,Hauenstein-Basistunnel$<1>$Hauenstein-Basistunnel$<2>
0000176,Zimmerberg-Basistunnel$<1>$Zimmerberg-Basistunnel$<2>
0000177,Belfaux$<1>
0000178,Fribourg$<1>
0000179,Mürren$<1>
0000180,Hinterkappelen$<1>
1100001,"Cannero, staz. Bus$<1>"
1100002,"Cannobio, staz. Bus$<1>"
1100004,"Intra, Imbarcadero nuovo$<1>"
1100005,"Pallanza, staz. Bus$<1>"
1100006,"Zell (Wiesental), Bahnhof$<1>"
1100079,"Lörrach, Hauptbahnhof$<1>"
1100084,"Lörrach-Stetten, Bahnhof$<1>"
1100097,"Schopfheim, Bahnhof$<1>"
1100102,"Maulburg, Bahnhof$<1>"
1100158,"Steinen (D), Bahnhof$<1>"
1100368,"Hausen-Raitbach, Bahnhof$<1>"
1100386,"Lörrach-Brombach, Bahnhof$<1>"
1100464,"Eimeldingen, Bahnhof$<1>"
1100516,"Weil am Rhein, Rebgartenweg$<1>"
1100600,"Lörrach, Hauptstr.$<1>"
1100661,"Efringen-Kirchen, Bahnhof$<1>"
